,arms,bench,broad,fortyyd,hands,heightinchestotal,tenyd,threecone,twentyss,twentyyd,vertical,weight,year,Player,Pos,injured_pct,position_group
0,0.0,24.0,130.0,4.6,0.0,69.0,0.0,6.79,3.95,0.0,42.5,205,2015,Ameer Abdullah,RB,0.44,RB
1,0.0,12.0,0.0,4.42,0.0,72.0,0.0,0.0,0.0,0.0,0.0,198,2015,Nelson Agholor,WR,0.19,WR
2,0.0,19.0,121.0,4.57,0.0,72.0,0.0,7.1,4.1,0.0,39.0,221,2015,Jay Ajayi,RB,0.25,RB
4,0.0,13.0,121.0,4.43,0.0,68.0,0.0,6.64,4.07,0.0,34.0,180,2015,Mario Alford,WR,0.06,WR
5,0.0,11.0,121.0,4.53,0.0,72.0,0.0,6.96,4.28,0.0,35.5,221,2015,Javorius Allen,RB,0.06,RB
6,0.0,0.0,122.0,4.56,0.0,72.0,0.0,7.09,4.03,0.0,35.5,218,2015,Adrian Amos,FS,0.03,DB
8,0.0,0.0,111.0,5.03,0.0,78.0,0.0,7.2,4.19,0.0,30.0,294,2015,Henry Anderson,DE,0.31,DL
10,0.0,23.0,122.0,4.56,0.0,75.0,0.0,7.07,4.03,0.0,37.0,243,2015,Stephone Anthony,ILB,0.16,LB
13,0.0,22.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,236,2015,Neiron Ball,OLB,0.81,LB
14,0.0,22.0,0.0,4.8,0.0,76.0,0.0,0.0,0.0,0.0,0.0,282,2015,Tavaris Barnes,DE,1.0,DL
16,0.0,35.0,130.0,4.53,0.0,75.0,0.0,6.91,4.15,0.0,41.0,246,2015,Vic Beasley,OLB,0.0,LB
17,0.0,14.0,116.0,4.8,0.0,78.0,0.0,0.0,4.32,0.0,33.0,252,2015,Blake Bell,TE,0.06,TE
20,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,293,2015,Michael Bennett,DT,1.0,DL
27,0.0,20.0,112.0,5.04,0.0,76.0,0.0,0.0,4.23,0.0,30.5,268,2015,Nick Boyle,TE,0.06,TE
32,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,323,2015,Jamon Brown,OT,0.44,OL
37,0.0,23.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,208,2015,Ibraheim Campbell,SS,0.06,DB
38,0.0,26.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,313,2015,A.J. Cann,OG,0.0,OL
41,0.0,17.0,121.0,4.51,0.0,72.0,0.0,7.05,4.07,0.0,40.0,196,2015,Alex Carter,CB,1.0,DB
44,0.0,27.0,114.0,4.79,0.0,75.0,0.0,7.17,4.25,0.0,34.5,267,2015,Anthony Chickillo,DE,0.06,DL
45,0.0,28.0,0.0,4.87,0.0,75.0,0.0,0.0,4.7,0.0,0.0,244,2015,Gerald Christian,TE,1.0,TE
47,0.0,19.0,118.0,4.79,0.0,75.0,0.0,7.08,4.05,0.0,38.5,271,2015,Frank Clark,DE,0.06,DL
48,0.0,10.0,113.0,4.51,0.0,70.0,0.0,6.97,4.26,0.0,33.0,195,2015,Kaelin Clay,WR,1.0,WR
50,0.0,22.0,111.0,5.14,0.0,77.0,0.0,7.68,4.54,0.0,32.5,309,2015,T.J. Clemmings,OT,0.0,OL
51,0.0,23.0,131.0,4.43,0.0,73.0,0.0,6.98,4.06,0.0,41.0,212,2015,Sammie Coates,WR,0.06,WR
52,0.0,17.0,121.0,4.81,0.0,71.0,0.0,0.0,0.0,0.0,38.5,229,2015,David Cobb,RB,0.56,RB
54,0.0,20.0,124.0,4.53,0.0,71.0,0.0,6.61,3.98,0.0,37.5,185,2015,Justin Coleman,CB,0.25,DB
55,0.0,22.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,206,2015,Tevin Coleman,RB,0.19,RB
57,0.0,21.0,108.0,5.12,0.0,76.0,0.0,7.7,4.63,0.0,27.0,305,2015,La'el Collins,OT,0.44,OL
59,0.0,18.0,139.0,4.35,0.0,74.0,0.0,7.06,4.3,0.0,45.0,213,2015,Chris Conley,WR,0.0,WR
60,0.0,0.0,120.0,4.42,0.0,73.0,0.0,6.71,3.98,0.0,33.0,211,2015,Amari Cooper,WR,0.0,WR
62,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,289,2015,Christian Covington,DT,0.03,DL
66,0.0,15.0,125.0,4.62,0.0,72.0,0.0,7.15,4.25,0.0,40.0,217,2015,John Crockett,RB,1.0,RB
67,0.0,10.0,115.0,4.56,0.0,68.0,0.0,7.17,4.32,0.0,37.0,185,2015,Jamison Crowder,WR,0.0,WR
70,0.0,12.0,129.0,4.38,0.0,71.0,0.0,6.94,4.14,0.0,41.5,193,2015,Ronald Darby,CB,0.06,DB
72,0.0,0.0,103.0,5.07,0.0,77.0,0.0,7.91,4.47,0.0,33.0,320,2015,Carl Davis,DT,1.0,DL
75,0.0,17.0,116.0,4.61,0.0,69.0,0.0,7.0,4.18,0.0,34.0,217,2015,Mike Davis,RB,0.44,RB
77,0.0,32.0,105.0,5.18,0.0,74.0,0.0,7.53,4.46,0.0,33.0,316,2015,Tyeler Davison,DT,0.06,DL
79,0.0,23.0,0.0,4.97,0.0,76.0,0.0,0.0,0.0,0.0,0.0,254,2015,Ryan Delaire,DE,0.56,DL
81,0.0,15.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,255,2015,A.J. Derby,TE,0.06,TE
83,0.0,17.0,113.0,4.56,0.0,69.0,0.0,7.22,4.15,0.0,35.5,196,2015,Quandre Diggs,CB,0.25,DB
84,0.0,0.0,115.0,4.46,0.0,72.0,0.0,7.03,4.32,0.0,35.0,195,2015,Stefon Diggs,WR,0.09,WR
86,0.0,17.0,101.0,5.31,0.0,78.0,0.0,7.84,4.77,0.0,32.0,313,2015,Andrew Donnal,OT,0.38,OL
87,0.0,13.0,122.0,4.33,0.0,70.0,0.0,6.7,4.11,0.0,37.0,185,2015,Phillip Dorsett,WR,0.16,WR
