,AV,Cmp%,DOB,End_Year,FF,FGA,FGM,FantPt,G,GS,Int,Player,Pos,QBrec,Rec,Ret,Rt,Rush,Sk,Start_Year,TD,Tkl,XPA,XPM,Y/A,Y/R,Yds,Draft_Pick,Draft_Round,Draft_Year,position_group,injured_pct
0,80,,1986-04-22,2015,,,,1591.4,127,,,Marshawn Lynch,RB,,,,,2144,,2007,74,,,,4.3,,9112,12,1,2008,RB,0.1
1,17,,1984-11-14,2015,,,,,99,,13,Zackary Bowman,DB,,,,,,,2008,1,,,,,,197,142,5,2008,DB,0.03
2,79,,1985-03-29,2016,,,,,126,123,,Ryan Kalil,C,,,,,,,2007,,,,,,,,59,2,2008,OL,0.25
3,89,,1979-09-12,2012,,,,,136,132,,Dan Koppen,C,,,,,,,2003,,,,,,,,164,5,2008,OL,0.48
4,48,,1988-05-27,2016,,,,,115,,22,Vontae Davis,DB,,,,,,,2009,1,,,,,,228,25,1,2008,DB,0.12
6,28,,1983-02-15,2013,,,,451.4,107,,,Tony Scheffler,TE,,258,,,,,2006,22,,,,,12.4,3207,61,2,2008,TE,0.08
7,21,,1991-07-22,2016,,,,,42,37,,Taylor Lewan,OT,,,,,,,2014,,,,,,,,11,1,2008,OL,0.19
8,5,,1986-10-06,2010,0,,,,30,,,Nic Harris,LB,,,,,,1.5,2009,,24,,,,,,147,5,2008,LB,0.06
9,4,,1988-01-16,2015,,,,,43,,,Justin Rogers,DB,,,,15,,,2011,0,,,,,,428,206,7,2008,DB,0.47
10,35,,1985-07-24,2013,,,,,92,,15,Eric Wright,DB,,,,,,,2007,2,,,,,,314,53,2,2008,DB,0.17
11,3,,1985-12-21,2011,,,,44.8,21,,,Jarett Dillard,WR,,35,,,,,2009,1,,,,,11.4,398,144,5,2008,WR,0.72
12,13,,1991-02-07,2016,,,,204.7,47,,,Markus Wheaton,WR,,107,,,,,2013,8,,,,,14.1,1508,79,3,2008,WR,0.27
13,1,,1986-08-22,2014,,,,15.6,51,,,Tony Fiammetta,RB,,12,,,11,,2009,0,,,,2.4,10.8,26,128,4,2008,RB,0.17
14,3,,1991-10-29,2016,,,,45.1,46,,,Trey Burton,TE,,40,,,,,2014,1,,,,,9.5,381,,,,TE,0.04
16,0,,1990-06-14,2012,,,,,7,,,Christian Thompson,FS,,,,,,,2012,,,,,,,,130,4,2008,DB,0.06
17,7,,1984-03-27,2011,,,,,61,,,Jonathan Wade,DB,,,,2,,,2007,0,,,,,,30,84,3,2008,DB,0.12
18,45,,1987-08-27,2016,,,,931.3,102,,,Darren McFadden,RB,,,,,1301,,2008,28,,,,4.2,,5423,4,1,2008,RB,0.34
19,2,,1988-12-30,2014,,,,23.1,46,,,Henry Hynoski,FB,,24,,,12,,2011,0,,,,2.8,5.8,33,,,,FB,0.53
21,3,,1990-08-31,2016,,,,,32,3,,Zaviar Gooden,OLB,,,,,,,2013,,,,,,,,97,3,2008,LB,0.22
